FilePath,FileName,PredictedCategory,Date,Score_FakeIDs,Score_DrugPayments,Score_LocationScreenshots,Score_Conversations,Score_BackgroundDocs
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5910.PNG,IMG_5910.PNG,Conversations,2025-08-13,0.1711,0.1981,0.1983,0.2146,0.2144
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5911.PNG,IMG_5911.PNG,Conversations,2025-08-13,0.1448,0.1922,0.1691,0.2176,0.1944
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5953.PNG,IMG_5953.PNG,Conversations,2025-08-13,0.1659,0.2718,0.2087,0.2725,0.2265
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5954.PNG,IMG_5954.PNG,Conversations,2025-08-13,0.1822,0.2623,0.2293,0.2999,0.2296
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6556.PNG,IMG_6556.PNG,Conversations,2025-08-13,0.1299,0.2255,0.1894,0.2856,0.1972
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6557.PNG,IMG_6557.PNG,Conversations,2025-08-13,0.1690,0.2224,0.1972,0.2751,0.2059
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6564.PNG,IMG_6564.PNG,Conversations,2025-08-13,0.1590,0.2173,0.1692,0.2832,0.2088
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6565.PNG,IMG_6565.PNG,Conversations,2025-08-13,0.1505,0.2209,0.1647,0.2642,0.1926
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6567.PNG,IMG_6567.PNG,Conversations,2025-08-13,0.1494,0.2203,0.1676,0.2731,0.1937
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6569.PNG,IMG_6569.PNG,Conversations,2025-08-13,0.1552,0.2217,0.1825,0.2693,0.2297
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6570.PNG,IMG_6570.PNG,Conversations,2025-08-13,0.1542,0.2252,0.1817,0.2791,0.1972
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6571.PNG,IMG_6571.PNG,Conversations,2025-08-13,0.1542,0.2252,0.1817,0.2791,0.1972
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6572.PNG,IMG_6572.PNG,Conversations,2025-08-13,0.1496,0.2200,0.1673,0.2715,0.1931
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6578.PNG,IMG_6578.PNG,Conversations,2025-08-13,0.1658,0.2387,0.2069,0.3009,0.2089
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6579.PNG,IMG_6579.PNG,Conversations,2025-08-13,0.1817,0.2391,0.2233,0.3068,0.2214
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6580.PNG,IMG_6580.PNG,Conversations,2025-08-13,0.1609,0.2131,0.1919,0.2697,0.2151
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6581.PNG,IMG_6581.PNG,Conversations,2025-08-13,0.1547,0.2224,0.1818,0.2694,0.2294
