"SHA256","Category","DateFolder","SourcePath","DestPath","EvidenceBucket","DateTaken","FallbackTimestamp"
"F255778441480CFFB527836CB7A1FEB4C29DC5319BFFA719E09B6094B2409F70","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6969.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6969.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"C23D9AD38BB364F6789776FCE3B4F31F5EFFBCD0F73FDFB6681D51989AE428AB","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6970.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6970.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"7986AFDE5BC2085D8DC55151E19D5F2E7F30FD1305B8710B1C977C1CB3A16487","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6971.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6971.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"4D61D49E66F03539906F29A7902F946F015462B327FBC7869A7938017CC305B2","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6972.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6972.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"FD87BC79254043E779AA563B3C93EFEC24B3557672B06B1D386BEAD3A67316AC","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6973.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6973.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"11EA974A461664AA8A6EFC7EABBB9DA3DB34C17E623D02768483F1E5D0C10A8A","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6974.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6974.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"61DBF6E87CC9054085D6C6F90E1081F32C2A8724E8BDACBE33705E9B6EAFBF64","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6975.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6975.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"114B5D2F2228A2B21B7512FEBC2DE015422082C7AB2D02C1EAF0934106F50080","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6976.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6976.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"9EBB89F8A1EA53CCD5A936C87D79B8F02D2E16BB00CFA4563C0EA5CC7452F4AB","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6977.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6977.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"12EA25F18ED4AE7772314D844AE23D807EC7400178E3C1B44C7ED142BE62DF00","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6978.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6978.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
